Start Time,End Time,Annotation,Tags (vertical bar separated)
"00:00:00","00:03:15","<b>&quot;Somos semillas, somos el fruto de la bomba&quot;</b><br><b>Verso 1</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso 2</b>  
De un bello árbol que nos dio sombra
Heredamos estas tradiciones
Y día a día aprendemos bomba
Tambores, baile y las canciones<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso 3</b>  
Somos legado de los ancestros
Que dejaron en nuestros corazones
Somos el eco de los barriles
Somos ritmo, tambor y flores<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso 4</b>  
Tenemos sangre puertorriqueña
De cimarronas y cimarrones
Llevamos siempre nuestra cultura
La defendemos con mil honores<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso 5</b>  
Somos presentes, somos futuros
Semilleros de generaciones
Hijas e hijos de nuestra bomba
Y compartimos bien nuestros dones<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso 6</b>  
Seguiremos tocando bomba por todo el mundo y sus rincones
Con los barriles, con maracas
Con alegría y con mil amores<br><b>Coro</b>  
Somos semillas, somos el fruto de la bomba
Somos las flores, somos retoño
Somos capullo y nuestra herencia son los tambores<br><b>Verso Final / Dedicatoria</b>  
Un fuerte aplauso para Milenis
¡Qué manera de empezar Sacha!
Así es que es, ¡Guau, gracias!<br>children","Somos semillas, somos el fruto de la bomba|bomba|ecological "
"00:03:35","00:07:35","<b>&quot;Cuando baila la negrita&quot;</b><br><b>Verso 1</b>  
Que viva la niñez y la juventud de Puerto Rico
Bravo cuando baila la negrita
Trueno, rayo, tambor
Cuando baila la negrita, lluvia al pulso<br><b>Coro</b>  
Cuando baila la negrita, trueno, rayo, tambor
Cuando baila la negrita, sube al viento, se mojó
Cuando baila la negrita, suena el horario, tambor
Cuando baila la negrita, lluvia, cielo, tambor<br><b>Verso 2</b>  
Cuando baila la negrita, fen los rayos, tambor
Cuando baila la alegrita, al cielo se mojó<br><b>Verso</b>
La negrita baila bomba, yuba inspiró
Cada golpe del tambor se encendió en el corazón<br><b>Coro</b>  
Cuando baila la negrita, trueno, rayo, tambor
Cuando baila la negrita, lluvia en el cielo<br><b>Verso</b>
Cuando baila la negrita, las estrellas brillan en chic
Bailó en la casita de Don Pedro la bomba y sonó<br><b>Verso 3</b>  
Cuando baila la negrita, tambor, lluvia al viento
Se mojó, los tambores cuentan historia
De coraje y valor, Puerto Rico yo te quiero
Y te canto de corazón<br><b>Coro</b>  
Cuando baila la negrita, rayos, campos, tambor
Cuando baila la alegrita, al cielo se mojó
Cuando baila la negrita, trueno, oro, tambor
Cuando baila la negrita, sube al viento, se mojó<br><b>Verso 4</b>  
Cuando baila la negrita, los rayos danzan
Cuando baila la alegrita, al viento se mojó
La negrita baila bomba, inspiró amor
Se encendió en el corazón<br><b>Coro</b>  
Cuando baila la negrita, trueno, rayos, tambor
Cuando baila la negrita, lluvia al viento se mojó
Cuando baila la negrita, trueno, rayo, tambor
Cuando baila la negrita, al viento se mojó<br><b>Verso Final / Dedicatoria</b>  <br>

","bomba"
"00:08:40","00:11:00","<b>&quot;Soy los elementos&quot;</b>  Compuesta por María<br><br><b>Verso</b>  
Soy tierra.
Soy aire.
Soy agua.
Soy fuego.
Cuando entro al batey, yo me libero.<br>Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.<br>Soy río,
soy montaña,
soy cielo,
soy deseo.
Cuando entro al batey con mis ancestros.<br>Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.<br>Soy agua,
soy gotas,
soy lluvia,
soy hielo.
Cuando entro al batey, fluyo con mis ancestros.<br><b>[Coro]</b>  
Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.<br><b>[Verso]</b>  
Soy tierra,
soy arena,
soy piedra,
soy suelo.
Cuando entro al batey, conecto con mis ancestros.<br><b>[Coro]</b>  
Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.<br><b>[Verso]</b>  
Soy fuego,
soy llama,
soy hoguera,
soy candela.
Cuando entro al batey, luz de mis ancestros.<br><b>[Coro]</b>  
Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.<br><b>[Verso]</b>  
Soy aire,
soy viento,
soy brisa,
soy cielo.
Cuando entro al batey, voy con mis ancestros.<br><b>[Coro – repite 4x]</b>  
Soy tierra,
soy aire,
soy agua,
soy fuego.
Cuando entro al batey, yo me libero.","bomba|Soy los elementos|ecological "
"00:11:00","00:15:20","<i>&quot;Mama me voy pa&#x27; la bomba&quot;</i>","bomba"
"00:15:00","00:17:00","<b>&quot;Campo, yo vivo triste&quot;</b><br>más Ay Dios que será de<br>mí si no bailo esta bomba me voy a morir<br>campo yo vivo triste y cada día sufriendo más<br>Ay Dios, Qué será de mí si no bailo esta bomba me voy a morir <br><br>Campo yo vivo triste cada día sufriendo más<br>Ay qué será de mí si no bail esta bomba me voy a morir <br>Ay campo yo vivo triste<br>Ay cada día sufriendo más<br>Ay Dios que será de mí si no bailo esta bomba me voy a morir <br><br>campo yo vivo triste cada día sufriendo más<br>Ay Dios Qué será de mí si no bailo esta bomba me voy a morir <br>y es la bondad que consentimiento yo te quiero a ti cantar la bomba de mi borinque que aquí<br>aisa te vengo a cantar aly campo campo yo vivo<br>triste cada día suendo más Ay Dios Qué será de mí si no bailo<br>nunca me voy a morir Solo te pido que repi el cuero y<br>que suene también el cua para que nuestras ancestras allá<br>desde el cielo la puedan cantar Ay campo campo yo vivo<br>triste cada día sufriendo más Ay Dios<br>será de mí si no bailo esta bomba me voy a morir Ay Camp yo vivo<br>triste cada día sufriendo más<br>Ay queé será de mí si no hailo esta bomba yo voy a morir <br><br>Campo yo vivo triste cada día sufriendo Ay Dios que sea de mí si no bailo esta<br>bomba me voy a morir canto yo vivo<br>triste cada día sufriendo má Ay Dios que<br>será de mí si no ao esa bomba me voy a morir<br>camb Yo vivo triste cada día sufriendo más Ay que será de mi si no bailo esta bomba me voy a morir ","bomba|Campo"
"00:19:33","00:00:00","<b>Familia de Alduén</b><br><b>coro</b><br>Mi familia está presente en la historia de la bomba,  <br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.  <br>Mi familia está presente en la historia de la bomba,  <br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.<br><br>Mi familia está presente en la historia de la bomba,  <br>todos conocen a la familia, desde Chicago a Mayagüez.  <br>Mi familia está presente en la historia de la bomba,  <br>todos conocen a la familia, desde Chicago a Mayagüez.<br><b>verso </b><br>Suenan los tambores, los mayores saben,  <br>también en la historia la familia está en pie.  <br>El oeste tiene la familia Alduen,  <br>se dedica al ritmo que nunca va a perder. <br><b>coro</b><br>Mi familia está presente en la historia de la bomba,<br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.<br>Mi familia está presente en la historia de la bomba,<br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.<br><b>verso</b><br>Era la voz de mi tío abuelo,  <br>desde el cielo con mi mamá cantando en vuelo.  <br>Rando desde la nube cuando yo canto,  <br>una lluvia de bomba que nos llena de encanto.<br><b>coro</b><br>Mi familia está presente en la historia de la bomba,<br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.<br>Mi familia está presente en la historia de la bomba,<br>todos conocen a la familia Alduen, desde Chicago a Mayagüez.<br><b>verso</b><br>Un aplauso para Mari y la familia Alduen,  <br>presente en la gloria que nunca se va a perder.  <br>Todas esas familias que han dejado legado,  <br>cultural inmenso que siempre será cantado. ","bomba"
"00:23:38","00:26:32","<b>Verso </b>
Culebra como canto Rafael domine domine
Esa negra domine que trabaja la culebra como canto Rafael
Como canto Rafael como canto Rafael<br><b>Coro</b>  
Esta negra baila bomba
Esa negra domine domine
Esta negra trabaja la culebra como Rafael
Que trabaja la culebra como canto Rafael<br><b>Verso</b>  
Esta negra baila la bomba y se pica con los pies
Dominé dominé esa negra dominé
Trabaja la culebra como Rafael
Lo deora borique la cantadora cantan bomba cantando<br><b>Coro</b>  
Domin domine domine domine
Que trabaja la culebra como cantó Rafael
Que trabaja la culebra como cantó Rafael
Que trabaja la culebra como cantó Rafael
Como cantó Rafael como cantó Rafael como cantó Rafael<br><b>Verso </b>  
Las negras cantan bombas como cantó Rafael
Como cantó Rafael como mano Rafael
La negra bailan bomba aquí de mayel
Dominé esa negra dominé<br><b>Coro</b>  
Que trabaja la culebra como cantó Rafael
Dominé dominé esta dominé
Que la culebra como cantó Rafael
Como cantó Rafael como canto Rafael<br><b>Verso </b>  
Esa negra baila bomba
Esa negra domin domin domin
Esa negra domin que trabaja la culebra como canto Rafael
Que trabaja la culebra como canto Rafael<br><b>Coro</b>  
La negrita baila bomba
Esta negra dominé dominé domin
Esa negra domin que trabaja la culebra como canto Rafael
Domin domin esa negra domin que trabaja la culebra<br><br><b>Verso Final / Dedicatoria</b>  
Un aplauso para María Castillo
Oye una dedicación especial a Neli Tanco, cantadora de la diáspora que falleció este año
Y que por muchos años fue la voz femenina que se veía en las tarimas de la diáspora
En cuanto a bomba y plena se refiere
Así que un aplauso a Neli Tanco y a nuestras ancestras que siguen vivas
Vida frágil, y hoy nos falta una voz
Que como un árbol dio sus frutos y la más...<br>

","Esta es la domine|bomba"
"00:26:50","00:27:00","history ",
"00:26:59","00:30:00","<b>&quot;Radiante Flor&quot;</b><br><b>Verso 1</b>  
Fragante flor, la vida es frágil
Pero el espíritu no se extingue
Se crece y se alegra en el legado que veo<br><b>Coro</b>  
Mis canciones son las flores
Mi recuerdo es su fragancia
Mis canciones son las flores
Mi recuerdo es su fragancia<br><b>Verso 2</b>  
Para que te acuerdes de mí
Te dejo melodías en abundancia
Mis canciones son las flores
Mis recuerdos es su fragancia
Con el color de mi voz
Se vestirá la Trinitaria<br><b>Coro</b>  
Mis canciones son las flores
Mi recuerdo es su fragancia
Mis versos son los colores
Son de amanecer este día mejores
MIs canciones son las flores
Mi recuerdo es su fragancia<br><b>Verso 3</b>  
Acompáñame a estar contigo, estar contigo
Mis canciones son las flores
Mi recuerdo es fragancia
Mira pétalos de colores
Mis canciones son las flores
Mi recuerdo en tu fragancia<br><b>Coro</b>  
Mis canciones son las flores
Mi recuerdo es su fragancia
Me está picando una abeja
Y tengo el aguijón
Mis canciones son las flores
Y recuerdo en su fragancia<br><b>Verso 4</b>  
Me lo quité, vamos a seguir aquí con la bomba
Canciones son las flores
Y recuerdo en mi fragancia
Mis canciones son las flores
Tus pétalos son de colores
Mis canciones son las flores
Y recuerdo en su fragancia<br><b>Coro</b>  
Mi voz se extiende
Y a ti siempre te acompaña
Canciones son las flores
Mi recuerdo en su fragancia<br><b>Verso 5</b>  
Recuérdame en tus oraciones
Mis canciones son las flores
Mi recuerdo es su fragancia
De la tierra y los ancestros
Que todo el mundo baila
Mis canciones son las flores
Mi recuerdo es su fragancia<br><b>Coro</b>  
Mis canciones son las flores
Mi recuerdo es su fragancia
Acompáñame a estar contigo, a estar contigo
Canciones son las flores
Mi recuerdo es su fragancia<br>
","bomba"
"00:31:46","00:36:54","<b>&quot;Yo soy del Oeste&quot; - </b> Llia Correa<br><b>Verso 1</b>  
Sobre el mar Caribe, emblema del encanto
Repica mi corazón, tambor al atardecer
Con la puesta del sol de los puntos cardinales
En el oeste nací yo<br>Viene mi ancestral, mi estirpe de guerrera
Mi esencia y mi honor
De los puntos cardinales <br><br>En el oeste nací yo
Yo soy del Oeste como la fuerza del sol<br><b>Coro</b>  
Sobre el mar Caribe repica mi corazón
Yo soy del Oeste como la puerta del sol
Sobre el mar Caribe repica mi corazón<br><b>Verso 3</b>  
Le canto a mi llano alegre
Mi cuevito perfumado, el hogar de mi ancestra
Una que me dio nacer
Yo soy del Oeste como la puerta del sol<br><b>Coro</b>  
Sobre el mar Caribe repica mi corazón
Con el vaivén de las olas de su playa y su mar 
Con sus palmas y manglares no dejaré de amar
Yo soy del Oeste como la fuerza del sol<br><b>Verso 4</b>  
Soy el mar Caribe, mi corazón a flor
Honrando por regalarme esa herencia
De repiques y barriles, maracas y cua oyendo el son
En el oeste como la puesta del sol<br><b>Coro</b>  
Sobre el mar Caribe repica mi corazón<br><b>Verso</b>
A la ciudad de las Lomas dedico un verso especial
Ciudad fundadora, pueblo ese mi gran hermano<br><b>Coro</b><br>Yo soy del Oeste como la fuerza del sol<br><b>Verso 5</b>  
Conjuro el rumor del río, mi terruño si natal
Su pétalo de amapola y las olas bravas del mar
Yo soy del Oeste como la puerta del sol
Sobre el mar Caribe se repica mi corazón<br><b>Verso 6</b>  
El azul más claro y hondo que yo he podido observar
Se encuentra en el oeste, de mi Caribe ancestral<br><b>Coro</b>
Yo soy del Oeste como la fuerza del sol
Sobre el mar Caribe repica mi corazón<br><b>Verso 7</b>  
Ahora en este otro oeste, allá en mi ciudad oral
Mi querido San Francisco y la misión, mi comunidad<br><b>Coro</b>
Yo soy como la fuerza del sol
Sobre el mar Caribe repica mi corazón<br><b>Verso  </b>
Yo soy de tu costa recia, de tu monte sin igual
De tu obra de arte celestial
<b>Coro</b><br>Yo soy del Oeste como la fuerza del sol
Sobre el mar Caribe repica mi corazón<br><b>Verso </b>  
Siempre me ha regalado los besos del sol y el mar
La pulpa de guayaba y la flor del camboy<br><b>Coro</b>
Yo soy del Oeste como la puesta del sol
Sobre el mar Caribe repica mi corazón<br><b>Coro Final</b>  
Yo soy del Oeste como la puesta del sol
Sobre el mar Caribe repica mi corazón

","bomba"
